,,,,Term-VI Time Table (PGP 2024-26 batch) for AY 2025-26,,,,,,,,,,Single Section
,,,Slot 1,Slot 2,Slot3,Break,Slot4,Slot 5,Slot 6,Slot7,Slot 8,Slot 9,,Last Session
"Day, Date",Classroom No.,,9:00 am - 10:15 am,10:30 am - 11:45 am,12 noon - 1:15 pm,Lunch,2:30 pm - 3:45 pm,4:00 pm - 5:15 pm,5:30 pm - 6:45 pm,7:00 pm - 8:15 pm,8:45 pm - 10:00 pm,10:15 pm - 11:30 pm,,Sister section attd. Allowed
01/22/2026,F-201,,CIED A 9,CIED B 9,PBM 6,Quiz-BF,,PPG 2,DMB2B A 4,DMB2B B 4,Quiz-Digital,BV 7,,
01/22/2026,F-203,,ConD 7,Digital A 9,Digital A 10,,BDG 10,MIT A 3,MIT B 3,CNN 12,,,,
01/22/2026,F-103,,,EBS A 4,EBS B 4,,Digital B 9,Digital B 10,ELDM A 12,ELDM B 12,,,,
01/22/2026,SRC-201,,,,,,,,,,,,,
01/22/2026,G103,,,,,,,,,,,,,
01/23/2026,F-201,,,DMB2B A 5,DMB2B B 5,,IBSCG A 8,IBSCG B 8,HBAFL 6,MSM 13,BV 8,,,
01/23/2026,F-203,,BF A 8,BF B 8,PPG 3,,CNN 13,UDP A 1,UDP B 1,,,,,
01/23/2026,F-103,,,,,,,,,,,,,
01/23/2026,SRC-201,,,,,,,,,,,,,
01/23/2026,G103,,,,,,,,,,,,,
01/24/2026,F-201,,EBS A 5,EBS B 5,EcoP 10,,,ConD 8,DMB2B A 6,DMB2B B 6,EMBI A 4,EMBI B 4,,
01/24/2026,F-203,,,DPM A 5,DPM B 5,,PBM 7,SLDT 7,SLDT 8,,,,,
01/24/2026,F-103,,,,,,MAM 1,MAM 2,PBEI A 4,PBEI B 4,,,,
01/24/2026,SRC-201,,,,,,,,,,,,,
01/24/2026,G103,,,,,,,,,,,,,
01/25/2026,F-201,,,DMB2B A 7,DMB2B B 7,Quiz-PBM,EMBI A 5,EMBI B 5,ET-AO,,,,,
01/25/2026,F-203,,SLDT 9,SLDT 10,,,,,,,,,,
01/25/2026,F-103,,,,,,,,,,,,,
01/25/2026,SRC-201,,,,,,,,,,,,,
01/25/2026,G103,,,,,,,,,,,,,
01/26/2026,F-201,,Republic Day,,,,,,,,,,,
01/26/2026,F-203,,,,,,,,,,,,,
01/26/2026,F-103,,,,,,,,,,,,,
01/26/2026,SRC-201,,,,,,,,,,,,,
01/26/2026,G103,,,,,,,,,,,,,
01/27/2026,F-201,,CNN 14,CIED A 10,CIED B 10,,PBM 8,EBS A 6,EBS B 6,,,,,
01/27/2026,F-203,,ConD 9,ELDM A 13,ELDM B 13,,AAHR A 6,AAHR B 6,LabE 4,PPG 4,ET-ETC,,,
01/27/2026,F-103,,,,Genplay 4,,PBEI A 5,PBEI B 5,DPM A 6,DPM B 6,,,,
01/27/2026,SRC-201,,,,,,,,,,,,,
01/27/2026,G103,,,,,,,,,,,,,
01/28/2026,F-201,,CLTC 6,AAHR A 7,AAHR B 7,,BF A 9,BF B 9,PPG 5,,,,,
01/28/2026,F-203,,IBSCG A 9,IBSCG B 9,CNN 15,,,IBS A 11,IBS B 11,BV 9,MT-CIED,,,
01/28/2026,F-103,,,HBAFL 7,,,,MSM 14,ELDM A 14,ELDM B 14,,,,
01/28/2026,SRC-201,,,,,,,,,,,,,
01/28/2026,G103,,,,,,,,,,,,,
01/29/2026,F-201,,Genplay 5,AAHR A 8,AAHR B 8,,ConD 10,PPG 6,CIED A 11,CIED B 11,,,,
01/29/2026,F-203,,,LabE 5,,,PBM 9,MIT A 4,MIT B 4,,ET-BDG,,,
